genome	region	locus_tag	pfam_domain	tigrfam_domain
HpGP-HON-028	region001	HpGP-HON-028_00511,HpGP-HON-028_00512,HpGP-HON-028_00513,HpGP-HON-028_00514,HpGP-HON-028_00515,HpGP-HON-028_00516,HpGP-HON-028_00517,HpGP-HON-028_00518,HpGP-HON-028_00519,HpGP-HON-028_00520,HpGP-HON-028_00521,HpGP-HON-028_00522,HpGP-HON-028_00523,HpGP-HON-028_00524,HpGP-HON-028_00525	PF03235.17,PF00083.27,PF01856.20,PF00583.28,PF13353.9,PF01242.22,PF01975.20,PF00348.20,PF01227.25,PF01435.21,PF01142.21,PF01142.21,PF02132.18,PF01361.24,PF01856.20	TIGR00087,TIGR00087,TIGR00063,TIGR00063,TIGR00094,TIGR00094,TIGR00615,TIGR00615,TIGR00013,TIGR00013
HpGP-IDN-001	region001	HpGP-IDN-001_00715,HpGP-IDN-001_00716,HpGP-IDN-001_00717,HpGP-IDN-001_00718,HpGP-IDN-001_00719,HpGP-IDN-001_00720,HpGP-IDN-001_00721,HpGP-IDN-001_00722,HpGP-IDN-001_00723,HpGP-IDN-001_00724,HpGP-IDN-001_00725,HpGP-IDN-001_00726,HpGP-IDN-001_00727,HpGP-IDN-001_00728,HpGP-IDN-001_00729	PF03235.17,PF07510.14,PF00083.27,PF01856.20,PF00583.28,PF13353.9,PF01242.22,PF01975.20,PF00348.20,PF01227.25,PF01435.21,PF01142.21,PF01142.21,PF02132.18,PF01361.24,PF01856.20	TIGR00087,TIGR00087,TIGR00063,TIGR00063,TIGR00094,TIGR00094,TIGR00615,TIGR00615,TIGR00013,TIGR00013
HpGP-IDN-002	region001	HpGP-IDN-002_00893,HpGP-IDN-002_00894,HpGP-IDN-002_00895,HpGP-IDN-002_00896,HpGP-IDN-002_00897,HpGP-IDN-002_00898,HpGP-IDN-002_00899,HpGP-IDN-002_00900,HpGP-IDN-002_00901,HpGP-IDN-002_00902,HpGP-IDN-002_00903,HpGP-IDN-002_00904,HpGP-IDN-002_00905,HpGP-IDN-002_00906,HpGP-IDN-002_00907,HpGP-IDN-002_00908	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF07510.14,PF03235.17,PF00528.25	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726
HpGP-IDN-003	region001	HpGP-IDN-003_00879,HpGP-IDN-003_00880,HpGP-IDN-003_00881,HpGP-IDN-003_00882,HpGP-IDN-003_00883,HpGP-IDN-003_00884,HpGP-IDN-003_00885,HpGP-IDN-003_00886,HpGP-IDN-003_00887,HpGP-IDN-003_00888,HpGP-IDN-003_00889,HpGP-IDN-003_00890,HpGP-IDN-003_00891,HpGP-IDN-003_00892,HpGP-IDN-003_00893,HpGP-IDN-003_00894,HpGP-IDN-003_00895,HpGP-IDN-003_00896,HpGP-IDN-003_00897	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF07510.14,PF03235.17,PF00528.25,PF00497.23,PF00842.24,PF01168.23	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726,TIGR00492,TIGR00492
HpGP-IDN-004	region001	HpGP-IDN-004_00893,HpGP-IDN-004_00894,HpGP-IDN-004_00895,HpGP-IDN-004_00896,HpGP-IDN-004_00897,HpGP-IDN-004_00898,HpGP-IDN-004_00899,HpGP-IDN-004_00900,HpGP-IDN-004_00901,HpGP-IDN-004_00902,HpGP-IDN-004_00903,HpGP-IDN-004_00904,HpGP-IDN-004_00905,HpGP-IDN-004_00906,HpGP-IDN-004_00907,HpGP-IDN-004_00908,HpGP-IDN-004_00909,HpGP-IDN-004_00910,HpGP-IDN-004_00911,HpGP-IDN-004_00912	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF00083.27,PF07510.14,PF03235.17,PF00528.25,PF00497.23,PF00842.24,PF01168.23	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726,TIGR00492,TIGR00492
HpGP-IDN-005	region001	HpGP-IDN-005_00960,HpGP-IDN-005_00961,HpGP-IDN-005_00962,HpGP-IDN-005_00963,HpGP-IDN-005_00964,HpGP-IDN-005_00965,HpGP-IDN-005_00966,HpGP-IDN-005_00967,HpGP-IDN-005_00968,HpGP-IDN-005_00969,HpGP-IDN-005_00970,HpGP-IDN-005_00971,HpGP-IDN-005_00972,HpGP-IDN-005_00973,HpGP-IDN-005_00974,HpGP-IDN-005_00975	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF07510.14,PF03235.17,PF00528.25	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726
HpGP-IDN-006	region001	HpGP-IDN-006_00861,HpGP-IDN-006_00862,HpGP-IDN-006_00863,HpGP-IDN-006_00864,HpGP-IDN-006_00865,HpGP-IDN-006_00866,HpGP-IDN-006_00867,HpGP-IDN-006_00868,HpGP-IDN-006_00869,HpGP-IDN-006_00870,HpGP-IDN-006_00871,HpGP-IDN-006_00872,HpGP-IDN-006_00873,HpGP-IDN-006_00874,HpGP-IDN-006_00875,HpGP-IDN-006_00876,HpGP-IDN-006_00877,HpGP-IDN-006_00878,HpGP-IDN-006_00879,HpGP-IDN-006_00880,HpGP-IDN-006_00881	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF00589.25,PF13730.9,PF01402.24	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087
HpGP-IDN-007	region001	HpGP-IDN-007_00914,HpGP-IDN-007_00915,HpGP-IDN-007_00916,HpGP-IDN-007_00917,HpGP-IDN-007_00918,HpGP-IDN-007_00919,HpGP-IDN-007_00920,HpGP-IDN-007_00921,HpGP-IDN-007_00922,HpGP-IDN-007_00923,HpGP-IDN-007_00924,HpGP-IDN-007_00925,HpGP-IDN-007_00926,HpGP-IDN-007_00927,HpGP-IDN-007_00928,HpGP-IDN-007_00929,HpGP-IDN-007_00930	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF07690.19,PF07510.14,PF03235.17,PF00528.25	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726
HpGP-IDN-008	region001	HpGP-IDN-008_00916,HpGP-IDN-008_00917,HpGP-IDN-008_00918,HpGP-IDN-008_00919,HpGP-IDN-008_00920,HpGP-IDN-008_00921,HpGP-IDN-008_00922,HpGP-IDN-008_00923,HpGP-IDN-008_00924,HpGP-IDN-008_00925,HpGP-IDN-008_00926,HpGP-IDN-008_00927,HpGP-IDN-008_00928,HpGP-IDN-008_00929,HpGP-IDN-008_00930,HpGP-IDN-008_00931,HpGP-IDN-008_00932	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF07510.14,PF03235.17,PF00528.25	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726
HpGP-IDN-009	region001	HpGP-IDN-009_00893,HpGP-IDN-009_00894,HpGP-IDN-009_00895,HpGP-IDN-009_00896,HpGP-IDN-009_00897,HpGP-IDN-009_00898,HpGP-IDN-009_00899,HpGP-IDN-009_00900,HpGP-IDN-009_00901,HpGP-IDN-009_00902,HpGP-IDN-009_00903,HpGP-IDN-009_00904,HpGP-IDN-009_00905,HpGP-IDN-009_00906,HpGP-IDN-009_00907,HpGP-IDN-009_00908	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF03235.17,PF03235.17	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087
HpGP-IDN-010	region001	HpGP-IDN-010_00936,HpGP-IDN-010_00937,HpGP-IDN-010_00938,HpGP-IDN-010_00939,HpGP-IDN-010_00940,HpGP-IDN-010_00941,HpGP-IDN-010_00942,HpGP-IDN-010_00943,HpGP-IDN-010_00944,HpGP-IDN-010_00945,HpGP-IDN-010_00946,HpGP-IDN-010_00947,HpGP-IDN-010_00948,HpGP-IDN-010_00949,HpGP-IDN-010_00950,HpGP-IDN-010_00951,HpGP-IDN-010_00952,HpGP-IDN-010_00953	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF07510.14,PF03235.17,PF00528.25	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726
HpGP-IDN-011	region001	HpGP-IDN-011_00871,HpGP-IDN-011_00872,HpGP-IDN-011_00873,HpGP-IDN-011_00874,HpGP-IDN-011_00875,HpGP-IDN-011_00876,HpGP-IDN-011_00877,HpGP-IDN-011_00878,HpGP-IDN-011_00879,HpGP-IDN-011_00880,HpGP-IDN-011_00881,HpGP-IDN-011_00882,HpGP-IDN-011_00883,HpGP-IDN-011_00884,HpGP-IDN-011_00885,HpGP-IDN-011_00886	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF07510.14,PF03235.17,PF00528.25	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726
HpGP-IND-001	region001	HpGP-IND-001_00899,HpGP-IND-001_00900,HpGP-IND-001_00901,HpGP-IND-001_00902,HpGP-IND-001_00903,HpGP-IND-001_00904,HpGP-IND-001_00905,HpGP-IND-001_00906,HpGP-IND-001_00907,HpGP-IND-001_00908,HpGP-IND-001_00909,HpGP-IND-001_00910,HpGP-IND-001_00911,HpGP-IND-001_00912,HpGP-IND-001_00913,HpGP-IND-001_00914,HpGP-IND-001_00915,HpGP-IND-001_00916,HpGP-IND-001_00917	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF00528.25,PF00497.23,PF00842.24,PF01168.23	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726,TIGR00492,TIGR00492
HpGP-IND-002	region001	HpGP-IND-002_00321,HpGP-IND-002_00322,HpGP-IND-002_00323,HpGP-IND-002_00324,HpGP-IND-002_00325,HpGP-IND-002_00326,HpGP-IND-002_00327,HpGP-IND-002_00328,HpGP-IND-002_00329,HpGP-IND-002_00330,HpGP-IND-002_00331,HpGP-IND-002_00332,HpGP-IND-002_00333,HpGP-IND-002_00334,HpGP-IND-002_00335,HpGP-IND-002_00336,HpGP-IND-002_00337,HpGP-IND-002_00338	PF00589.25,PF04610.17,PF01856.20,PF00583.28,PF13353.9,PF01242.22,PF01975.20,PF00348.20,PF01227.25,PF01435.21,PF01142.21,PF01142.21,PF02132.18,PF01361.24,PF01856.20	TIGR00087,TIGR00087,TIGR00063,TIGR00063,TIGR00094,TIGR00094,TIGR00615,TIGR00615,TIGR00013,TIGR00013
HpGP-IND-003	region001	HpGP-IND-003_00888,HpGP-IND-003_00889,HpGP-IND-003_00890,HpGP-IND-003_00891,HpGP-IND-003_00892,HpGP-IND-003_00893,HpGP-IND-003_00894,HpGP-IND-003_00895,HpGP-IND-003_00896,HpGP-IND-003_00897,HpGP-IND-003_00898,HpGP-IND-003_00899,HpGP-IND-003_00900,HpGP-IND-003_00901,HpGP-IND-003_00902,HpGP-IND-003_00903,HpGP-IND-003_00904,HpGP-IND-003_00905	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF07510.14,PF03235.17,PF00528.25,PF00497.23,PF00842.24,PF01168.23	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726,TIGR00492,TIGR00492
HpGP-IND-004	region001	HpGP-IND-004_00871,HpGP-IND-004_00872,HpGP-IND-004_00873,HpGP-IND-004_00874,HpGP-IND-004_00875,HpGP-IND-004_00876,HpGP-IND-004_00877,HpGP-IND-004_00878,HpGP-IND-004_00879,HpGP-IND-004_00880,HpGP-IND-004_00881,HpGP-IND-004_00882,HpGP-IND-004_00883,HpGP-IND-004_00884,HpGP-IND-004_00885,HpGP-IND-004_00886,HpGP-IND-004_00887,HpGP-IND-004_00888,HpGP-IND-004_00889,HpGP-IND-004_00890,HpGP-IND-004_00891	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF07510.14,PF03235.17,PF00528.25,PF00497.23,PF00842.24,PF01168.23	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726,TIGR00492,TIGR00492
HpGP-IND-005	region001	HpGP-IND-005_00894,HpGP-IND-005_00895,HpGP-IND-005_00896,HpGP-IND-005_00897,HpGP-IND-005_00898,HpGP-IND-005_00899,HpGP-IND-005_00900,HpGP-IND-005_00901,HpGP-IND-005_00902,HpGP-IND-005_00903,HpGP-IND-005_00904,HpGP-IND-005_00905,HpGP-IND-005_00906,HpGP-IND-005_00907,HpGP-IND-005_00908,HpGP-IND-005_00909,HpGP-IND-005_00910,HpGP-IND-005_00911,HpGP-IND-005_00912	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF07510.14,PF03235.17,PF00528.25,PF00497.23,PF00842.24,PF01168.23	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726,TIGR00492,TIGR00492
HpGP-IND-006	region001	HpGP-IND-006_00863,HpGP-IND-006_00864,HpGP-IND-006_00865,HpGP-IND-006_00866,HpGP-IND-006_00867,HpGP-IND-006_00868,HpGP-IND-006_00869,HpGP-IND-006_00870,HpGP-IND-006_00871,HpGP-IND-006_00872,HpGP-IND-006_00873,HpGP-IND-006_00874,HpGP-IND-006_00875,HpGP-IND-006_00876,HpGP-IND-006_00877,HpGP-IND-006_00878,HpGP-IND-006_00879	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF04610.17	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087
HpGP-IND-007	region001	HpGP-IND-007_00936,HpGP-IND-007_00937,HpGP-IND-007_00938,HpGP-IND-007_00939,HpGP-IND-007_00940,HpGP-IND-007_00941,HpGP-IND-007_00942,HpGP-IND-007_00943,HpGP-IND-007_00944,HpGP-IND-007_00945,HpGP-IND-007_00946,HpGP-IND-007_00947,HpGP-IND-007_00948,HpGP-IND-007_00949,HpGP-IND-007_00950,HpGP-IND-007_00951,HpGP-IND-007_00952,HpGP-IND-007_00953,HpGP-IND-007_00954	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF07510.14,PF03235.17,PF00528.25,PF00497.23	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726
HpGP-IND-008	region001	HpGP-IND-008_00949,HpGP-IND-008_00950,HpGP-IND-008_00951,HpGP-IND-008_00952,HpGP-IND-008_00953,HpGP-IND-008_00954,HpGP-IND-008_00955,HpGP-IND-008_00956,HpGP-IND-008_00957,HpGP-IND-008_00958,HpGP-IND-008_00959,HpGP-IND-008_00960,HpGP-IND-008_00961,HpGP-IND-008_00962,HpGP-IND-008_00963,HpGP-IND-008_00964,HpGP-IND-008_00965,HpGP-IND-008_00966,HpGP-IND-008_00967	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF07510.14,PF00528.25,PF00497.23,PF00842.24,PF01168.23	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726,TIGR00492,TIGR00492
HpGP-IND-009	region001	HpGP-IND-009_00597,HpGP-IND-009_00598,HpGP-IND-009_00599,HpGP-IND-009_00600,HpGP-IND-009_00601,HpGP-IND-009_00602,HpGP-IND-009_00603,HpGP-IND-009_00604,HpGP-IND-009_00605,HpGP-IND-009_00606,HpGP-IND-009_00607,HpGP-IND-009_00608,HpGP-IND-009_00609,HpGP-IND-009_00610,HpGP-IND-009_00611,HpGP-IND-009_00612,HpGP-IND-009_00613	PF02367.20,PF00005.30,PF00309.23,PF04963.16,PF04552.16,PF13023.9,PF01856.20,PF00583.28,PF13353.9,PF01242.22,PF01975.20,PF00348.20,PF01227.25,PF01435.21,PF01142.21,PF01142.21,PF02132.18,PF01361.24,PF01856.20	TIGR00150,TIGR00150,TIGR04406,TIGR04406,TIGR02395,TIGR02395,TIGR00087,TIGR00087,TIGR00063,TIGR00063,TIGR00094,TIGR00094,TIGR00615,TIGR00615,TIGR00013,TIGR00013
HpGP-IND-010	region001	HpGP-IND-010_00860,HpGP-IND-010_00861,HpGP-IND-010_00862,HpGP-IND-010_00863,HpGP-IND-010_00864,HpGP-IND-010_00865,HpGP-IND-010_00866,HpGP-IND-010_00867,HpGP-IND-010_00868,HpGP-IND-010_00869,HpGP-IND-010_00870,HpGP-IND-010_00871,HpGP-IND-010_00872,HpGP-IND-010_00873,HpGP-IND-010_00874,HpGP-IND-010_00875,HpGP-IND-010_00876	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF07510.14,PF03235.17,PF00528.25	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726
HpGP-IRN-001	region001	HpGP-IRN-001_00899,HpGP-IRN-001_00900,HpGP-IRN-001_00901,HpGP-IRN-001_00902,HpGP-IRN-001_00903,HpGP-IRN-001_00904,HpGP-IRN-001_00905,HpGP-IRN-001_00906,HpGP-IRN-001_00907,HpGP-IRN-001_00908,HpGP-IRN-001_00909,HpGP-IRN-001_00910,HpGP-IRN-001_00911,HpGP-IRN-001_00912,HpGP-IRN-001_00913,HpGP-IRN-001_00914,HpGP-IRN-001_00915,HpGP-IRN-001_00916,HpGP-IRN-001_00917	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF03235.17,PF03235.17,PF00528.25,PF00497.23,PF00842.24,PF01168.23	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726,TIGR00492,TIGR00492
HpGP-IRN-002	region001	HpGP-IRN-002_00848,HpGP-IRN-002_00849,HpGP-IRN-002_00850,HpGP-IRN-002_00851,HpGP-IRN-002_00852,HpGP-IRN-002_00853,HpGP-IRN-002_00854,HpGP-IRN-002_00855,HpGP-IRN-002_00856,HpGP-IRN-002_00857,HpGP-IRN-002_00858,HpGP-IRN-002_00859,HpGP-IRN-002_00860,HpGP-IRN-002_00861,HpGP-IRN-002_00862,HpGP-IRN-002_00863,HpGP-IRN-002_00864,HpGP-IRN-002_00865,HpGP-IRN-002_00866	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF03235.17,PF00528.25,PF00497.23,PF00842.24,PF01168.23	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726,TIGR00492,TIGR00492
HpGP-IRN-003	region001	HpGP-IRN-003_00343,HpGP-IRN-003_00344,HpGP-IRN-003_00345,HpGP-IRN-003_00346,HpGP-IRN-003_00347,HpGP-IRN-003_00348,HpGP-IRN-003_00349,HpGP-IRN-003_00350,HpGP-IRN-003_00351,HpGP-IRN-003_00352,HpGP-IRN-003_00353,HpGP-IRN-003_00354,HpGP-IRN-003_00355,HpGP-IRN-003_00356,HpGP-IRN-003_00357,HpGP-IRN-003_00358,HpGP-IRN-003_00359,HpGP-IRN-003_00360,HpGP-IRN-003_00361,HpGP-IRN-003_00362	PF01168.23,PF00842.24,PF00497.23,PF00528.25,PF03235.17,PF07510.14,PF00083.27,PF01856.20,PF00583.28,PF13353.9,PF01242.22,PF01975.20,PF00348.20,PF01227.25,PF01435.21,PF01142.21,PF01142.21,PF02132.18,PF01361.24,PF01856.20	TIGR00492,TIGR00492,TIGR01726,TIGR01726,TIGR00087,TIGR00087,TIGR00063,TIGR00063,TIGR00094,TIGR00094,TIGR00615,TIGR00615,TIGR00013,TIGR00013
HpGP-IRN-009	region001	HpGP-IRN-009_00912,HpGP-IRN-009_00913,HpGP-IRN-009_00914,HpGP-IRN-009_00915,HpGP-IRN-009_00916,HpGP-IRN-009_00917,HpGP-IRN-009_00918,HpGP-IRN-009_00919,HpGP-IRN-009_00920,HpGP-IRN-009_00921,HpGP-IRN-009_00922,HpGP-IRN-009_00923,HpGP-IRN-009_00924,HpGP-IRN-009_00925,HpGP-IRN-009_00926,HpGP-IRN-009_00927,HpGP-IRN-009_00928,HpGP-IRN-009_00929,HpGP-IRN-009_00930	PF01856.20,PF01361.24,PF02132.18,PF01142.21,PF01142.21,PF01435.21,PF01227.25,PF00348.20,PF01975.20,PF01242.22,PF13353.9,PF00583.28,PF01856.20,PF00083.27,PF03235.17,PF00528.25,PF00497.23,PF00842.24,PF01168.23	TIGR00013,TIGR00013,TIGR00615,TIGR00615,TIGR00094,TIGR00094,TIGR00063,TIGR00063,TIGR00087,TIGR00087,TIGR01726,TIGR01726,TIGR00492,TIGR00492
HpGP-ISL-001	region001	HpGP-ISL-001_00636,HpGP-ISL-001_00637,HpGP-ISL-001_00638,HpGP-ISL-001_00639,HpGP-ISL-001_00640,HpGP-ISL-001_00641,HpGP-ISL-001_00642,HpGP-ISL-001_00643,HpGP-ISL-001_00644,HpGP-ISL-001_00645,HpGP-ISL-001_00646,HpGP-ISL-001_00647,HpGP-ISL-001_00648,HpGP-ISL-001_00649,HpGP-ISL-001_00650,HpGP-ISL-001_00651,HpGP-ISL-001_00652,HpGP-ISL-001_00653,HpGP-ISL-001_00654,HpGP-ISL-001_00655	PF01168.23,PF00842.24,PF00497.23,PF00528.25,PF03235.17,PF00083.27,PF00583.28,PF13353.9,PF01242.22,PF01975.20,PF00348.20,PF01227.25,PF01435.21,PF01142.21,PF01142.21,PF02132.18,PF01361.24,PF01856.20	TIGR00492,TIGR00492,TIGR01726,TIGR01726,TIGR00087,TIGR00087,TIGR00063,TIGR00063,TIGR00094,TIGR00094,TIGR00615,TIGR00615,TIGR00013,TIGR00013
HpGP-ISL-002	region001	HpGP-ISL-002_00606,HpGP-ISL-002_00607,HpGP-ISL-002_00608,HpGP-ISL-002_00609,HpGP-ISL-002_00610,HpGP-ISL-002_00611,HpGP-ISL-002_00612,HpGP-ISL-002_00613,HpGP-ISL-002_00614,HpGP-ISL-002_00615,HpGP-ISL-002_00616,HpGP-ISL-002_00617,HpGP-ISL-002_00618,HpGP-ISL-002_00619,HpGP-ISL-002_00620,HpGP-ISL-002_00621,HpGP-ISL-002_00622,HpGP-ISL-002_00623	PF01168.23,PF00842.24,PF00497.23,PF00528.25,PF03235.17,PF07510.14,PF00083.27,PF01856.20,PF00583.28,PF13353.9,PF01242.22,PF01975.20,PF00348.20,PF01227.25,PF01435.21,PF01142.21,PF01142.21,PF02132.18,PF01361.24,PF01856.20	TIGR00492,TIGR00492,TIGR01726,TIGR01726,TIGR00087,TIGR00087,TIGR00063,TIGR00063,TIGR00094,TIGR00094,TIGR00615,TIGR00615,TIGR00013,TIGR00013
HpGP-ISL-003	region001	HpGP-ISL-003_00600,HpGP-ISL-003_00601,HpGP-ISL-003_00602,HpGP-ISL-003_00603,HpGP-ISL-003_00604,HpGP-ISL-003_00605,HpGP-ISL-003_00606,HpGP-ISL-003_00607,HpGP-ISL-003_00608,HpGP-ISL-003_00609,HpGP-ISL-003_00610,HpGP-ISL-003_00611,HpGP-ISL-003_00612,HpGP-ISL-003_00613,HpGP-ISL-003_00614,HpGP-ISL-003_00615,HpGP-ISL-003_00616	PF01168.23,PF00842.24,PF00497.23,PF00528.25,PF03235.17,PF07510.14,PF00083.27,PF00583.28,PF13353.9,PF01242.22,PF01975.20,PF00348.20,PF01227.25,PF01435.21,PF01142.21,PF01142.21,PF02132.18,PF01361.24,PF01856.20	TIGR00492,TIGR00492,TIGR01726,TIGR01726,TIGR00087,TIGR00087,TIGR00063,TIGR00063,TIGR00094,TIGR00094,TIGR00615,TIGR00615,TIGR00013,TIGR00013
